Class,CBO,DIT,LCOM,WMC
org.apache.pdfbox.contentstream.operator.graphics.CurveToReplicateFinalPoint-2.0.30,9,2.0,2,4
org.apache.pdfbox.contentstream.operator.graphics.CurveToReplicateInitialPoint-2.0.30,9,2.0,2,5
org.apache.pdfbox.contentstream.operator.graphics.DrawObject-2.0.30,14,2.0,2,9
org.apache.pdfbox.contentstream.operator.graphics.EndPath-2.0.30,5,2.0,2,2
org.apache.pdfbox.contentstream.operator.graphics.FillEvenOddAndStrokePath-2.0.30,5,2.0,2,2
org.apache.pdfbox.contentstream.operator.graphics.FillEvenOddRule-2.0.30,5,2.0,2,2
org.apache.pdfbox.contentstream.operator.graphics.FillNonZeroAndStrokePath-2.0.30,5,2.0,2,2
org.apache.pdfbox.contentstream.operator.graphics.FillNonZeroRule-2.0.30,6,2.0,2,2
org.apache.pdfbox.contentstream.operator.graphics.GraphicsOperatorProcessor-2.0.30,25,1.0,1,1
org.apache.pdfbox.contentstream.operator.graphics.LegacyFillNonZeroRule-2.0.30,3,3.0,1,1
org.apache.pdfbox.contentstream.operator.graphics.LineTo-2.0.30,8,2.0,2,6
org.apache.pdfbox.contentstream.operator.graphics.MoveTo-2.0.30,8,2.0,2,5
org.apache.pdfbox.contentstream.operator.graphics.ShadingFill-2.0.30,7,2.0,2,4
org.apache.pdfbox.contentstream.operator.graphics.StrokePath-2.0.30,5,2.0,2,2
org.apache.pdfbox.contentstream.operator.markedcontent.BeginMarkedContentSequence-2.0.30,8,1.0,2,4
org.apache.pdfbox.contentstream.operator.markedcontent.BeginMarkedContentSequenceWithProperties-2.0.30,9,1.0,2,5
org.apache.pdfbox.contentstream.operator.markedcontent.DrawObject-2.0.30,12,1.0,2,7
org.apache.pdfbox.contentstream.operator.markedcontent.EndMarkedContentSequence-2.0.30,7,1.0,2,2
org.apache.pdfbox.contentstream.operator.state.Concatenate-2.0.30,13,1.0,2,4
org.apache.pdfbox.contentstream.operator.state.EmptyGraphicsStackException-2.0.30,2,0.0,0,1
