Class,CBO,DIT,LCOM,WMC
org.apache.pdfbox.examples.ant.PDFToTextTask,1,2,1,5
org.apache.pdfbox.examples.interactive.form.AddBorderToField,10,0,1,2
org.apache.pdfbox.examples.interactive.form.CreateCheckBox,30,0,1,11
org.apache.pdfbox.examples.interactive.form.CreateMultiWidgetsForm,20,0,1,2
org.apache.pdfbox.examples.interactive.form.CreatePushButton,23,0,1,1
org.apache.pdfbox.examples.interactive.form.CreateRadioButtons,24,0,1,9
org.apache.pdfbox.examples.interactive.form.CreateSimpleForm,22,0,1,2
org.apache.pdfbox.examples.interactive.form.CreateSimpleFormWithEmbeddedFont,22,0,1,2
org.apache.pdfbox.examples.interactive.form.FieldTriggers,9,0,1,2
org.apache.pdfbox.examples.interactive.form.FillFormField,4,0,1,3
org.apache.pdfbox.examples.interactive.form.PrintFields,6,0,1,11
org.apache.pdfbox.examples.interactive.form.SetField,10,0,1,15
org.apache.pdfbox.examples.interactive.form.UpdateFieldOnDocumentOpen,3,0,1,2
org.apache.pdfbox.examples.lucene.IndexPDFFiles,2,0,1,16
org.apache.pdfbox.examples.lucene.LucenePDFDocument,5,0,2,31
org.apache.pdfbox.examples.pdmodel.AddAnnotations,25,0,1,5
org.apache.pdfbox.examples.pdmodel.AddImageToPDF,6,0,1,5
org.apache.pdfbox.examples.pdmodel.AddJavascript,4,0,1,6
org.apache.pdfbox.examples.pdmodel.AddMessageToEachPage,9,0,1,12
org.apache.pdfbox.examples.pdmodel.AddMetadataFromDocInfo,10,0,1,6
org.apache.pdfbox.examples.pdmodel.CreateBlankPDF,3,0,1,3
org.apache.pdfbox.examples.pdmodel.CreateBookmarks,10,0,1,7
org.apache.pdfbox.examples.pdmodel.CreateGradientShadingPDF,20,0,1,5
org.apache.pdfbox.examples.pdmodel.CreateLandscapePDF,9,0,1,6
org.apache.pdfbox.examples.pdmodel.CreatePDFA,16,0,1,4
org.apache.pdfbox.examples.pdmodel.CreatePageLabels,5,0,1,2
org.apache.pdfbox.examples.pdmodel.CreatePatternsPDF,12,0,1,2
org.apache.pdfbox.examples.pdmodel.CreatePortableCollection,15,0,1,5
org.apache.pdfbox.examples.pdmodel.CreateSeparationColorBox,11,0,1,2
org.apache.pdfbox.examples.pdmodel.EmbeddedFiles,14,0,1,6
org.apache.pdfbox.examples.pdmodel.EmbeddedFonts,5,0,1,2
org.apache.pdfbox.examples.pdmodel.EmbeddedMultipleFonts,11,0,1,10
org.apache.pdfbox.examples.pdmodel.EmbeddedVerticalFonts,6,0,1,2
org.apache.pdfbox.examples.pdmodel.ExtractEmbeddedFiles,13,0,1,26
org.apache.pdfbox.examples.pdmodel.ExtractMetadata,12,0,1,24
org.apache.pdfbox.examples.pdmodel.ExtractTTFFonts,15,0,1,32
org.apache.pdfbox.examples.pdmodel.GoToSecondBookmarkOnOpen,8,0,1,8
org.apache.pdfbox.examples.pdmodel.HelloWorld,7,0,1,3
org.apache.pdfbox.examples.pdmodel.HelloWorldTTF,7,0,1,3
org.apache.pdfbox.examples.pdmodel.HelloWorldType1,6,0,1,3
org.apache.pdfbox.examples.pdmodel.ImageToPDF,5,0,1,4
org.apache.pdfbox.examples.pdmodel.PrintBookmarks,9,0,1,16
org.apache.pdfbox.examples.pdmodel.PrintDocumentMetaData,6,0,1,8
org.apache.pdfbox.examples.pdmodel.PrintURLs,8,0,1,14
org.apache.pdfbox.examples.pdmodel.RemoveFirstPage,2,0,1,7
org.apache.pdfbox.examples.pdmodel.ReplaceURLs,7,0,1,9
org.apache.pdfbox.examples.pdmodel.RubberStamp,6,0,1,7
org.apache.pdfbox.examples.pdmodel.RubberStampWithImage,16,0,1,9
org.apache.pdfbox.examples.pdmodel.ShowColorBoxes,6,0,1,3
org.apache.pdfbox.examples.pdmodel.ShowTextWithPositioning,12,0,1,7
org.apache.pdfbox.examples.pdmodel.SuperimposePage,9,0,1,4
org.apache.pdfbox.examples.pdmodel.UsingTextMatrix,9,0,1,9
org.apache.pdfbox.examples.printing.OpaquePDFRenderer,7,1,2,4
org.apache.pdfbox.examples.printing.OpaquePDFRenderer.OpaqueDrawObject,14,2,2,8
org.apache.pdfbox.examples.printing.OpaquePDFRenderer.OpaquePageDrawer,5,3,0,1
org.apache.pdfbox.examples.printing.Printing,7,0,5,14
org.apache.pdfbox.examples.rendering.CustomGraphicsStreamEngine,11,2,17,20
org.apache.pdfbox.examples.rendering.CustomPageDrawer,3,0,1,1
org.apache.pdfbox.examples.rendering.CustomPageDrawer.MyPDFRenderer,6,1,1,2
org.apache.pdfbox.examples.rendering.CustomPageDrawer.MyPageDrawer,10,3,4,6
org.apache.pdfbox.examples.signature.CMSProcessableInputStream,2,0,2,5
org.apache.pdfbox.examples.signature.CreateEmbeddedTimeStamp,8,0,1,17
org.apache.pdfbox.examples.signature.CreateEmptySignatureForm,14,0,1,2
org.apache.pdfbox.examples.signature.CreateSignature,10,1,2,16
org.apache.pdfbox.examples.signature.CreateSignatureBase,8,0,2,13
